"title","url","description","stars","language"
"TibixDev/winboat","https://github.com/TibixDev/winboat","Run Windows apps on 🐧 Linux with ✨ seamless integration","14,861","TypeScript"
"servo/servo","https://github.com/servo/servo","Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.","33,649","Rust"
"davila7/claude-code-templates","https://github.com/davila7/claude-code-templates","CLI tool for configuring and monitoring Claude Code","10,238","JavaScript"
"LadybirdBrowser/ladybird","https://github.com/LadybirdBrowser/ladybird","Truly independent web browser","55,162","C++"
"666ghj/BettaFish","https://github.com/666ghj/BettaFish","微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。","13,932","Python"
"microsoft/agent-lightning","https://github.com/microsoft/agent-lightning","The absolute trainer to light up AI agents.","6,961","Python"
"qeeqbox/social-analyzer","https://github.com/qeeqbox/social-analyzer","API, CLI, and Web App for analyzing and finding a person's profile in 1000 social media \ websites","17,459","JavaScript"
"HKUDS/DeepCode","https://github.com/HKUDS/DeepCode","""DeepCode: Open Agentic Coding (Paper2Code & Text2Web & Text2Backend)""","9,289","Python"
"microsoft/Web-Dev-For-Beginners","https://github.com/microsoft/Web-Dev-For-Beginners","24 Lessons, 12 Weeks, Get Started as a Web Developer","93,983","JavaScript"
"get-convex/chef","https://github.com/get-convex/chef","The only AI app builder that knows backend","3,252","TypeScript"
"mudler/LocalAI","https://github.com/mudler/LocalAI","🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference","37,095","Go"
"patchy631/ai-engineering-hub","https://github.com/patchy631/ai-engineering-hub","In-depth tutorials on LLMs, RAGs and real-world AI agent applications.","20,617","Jupyter Notebook"
"helm/helm","https://github.com/helm/helm","The Kubernetes Package Manager","28,878","Go"
"hacksider/Deep-Live-Cam","https://github.com/hacksider/Deep-Live-Cam","real time face swap and one-click video deepfake with only a single image","75,207","Python"
"suitenumerique/docs","https://github.com/suitenumerique/docs","A collaborative note taking, wiki and documentation platform that scales. Built with Django and React.","14,544","Python"
"Wei-Shaw/claude-relay-service","https://github.com/Wei-Shaw/claude-relay-service","CRS-自建Claude Code镜像，一站式开源中转服务，让 Claude、OpenAI、Gemini、Droid 订阅统一接入，支持拼车共享，更高效分摊成本，原生工具无缝使用。","5,071","JavaScript"
"chaitin/PandaWiki","https://github.com/chaitin/PandaWiki","PandaWiki 是一款 AI 大模型驱动的开源知识库搭建系统，帮助你快速构建智能化的 产品文档、技术文档、FAQ、博客系统，借助大模型的力量为你提供 AI 创作、AI 问答、AI 搜索等能力。","7,554","TypeScript"
"Project-MONAI/MONAI","https://github.com/Project-MONAI/MONAI","AI Toolkit for Healthcare Imaging","7,355","Python"
